Priority,MaterialID,Material,H2C status,GradeID,Manufacturer,Product,Representative,Composition / filler today,Certification claims today,TDS source,TDS URL,Where the publisher keeps documents
6 - composition disclosed on the data sheet,M067,PET-CF,Official Bambu product,G067-01,Bambu Lab,PET-CF,yes,"Polyethylene terephthalate, carbon fiber","Flammable — verify grade, thickness and certificate; not assembly certification",B-pet-cf-TDS,https://store.bblcdn.com/9690d6226f024acab2ba0dd52dabb654.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M067,PET-CF,Official Bambu product,G067-02,Polymaker (Fiberon),Fiberon PET-CF17,no,Carbon-fibre reinforced PET; the product designation states 17 % carbon fibre (TDS p. 1),"UL 94 HB at 1.5 mm (TDS p. 1, Flame retardancy); verify colour, thickness and certificate. Not printed-part certification",R-FIBERON-PETCF17-TDS,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_FIBERON-PET-CF17_V1.0_EN.pdf,polymaker.com/wp-content/uploads/lana-downloads/TDS_FIBERON-<Product>_V#_EN.pdf; product pages at fiberon.polymaker.com/product/<slug>
6 - composition disclosed on the data sheet,M068,PET-GF,Officially listed family,G068-01,Flashforge,PET-GF,no,PET with30% glass fibre (manufacturer description),Not published,D-FLASH-PETGF,https://www.flashforge.com/products/pet-gf,www.flashforge.com/products/<slug>
6 - composition disclosed on the data sheet,M068,PET-GF,Officially listed family,G068-02,Polymaker (Fiberon),Fiberon PET-GF15,yes,"PET, glass fibre (GF15 product designation)",UL 94 HB at 1.5 mm per TDS; not printed-part certification,R-FIBERON-PETGF15-TDS,https://fiberon.polymaker.com/wp-content/uploads/TDS_FIBERON-PET-GF15_V1.0_EN.pdf,polymaker.com/wp-content/uploads/lana-downloads/TDS_FIBERON-<Product>_V#_EN.pdf; product pages at fiberon.polymaker.com/product/<slug>
6 - composition disclosed on the data sheet,M070,PPA-CF,Official Bambu product,G070-01,Bambu Lab,PPA-CF,yes,"Semi-aromatic Nylon, carbon fiber","Flammable — verify grade, thickness and certificate; not assembly certification",B-ppa-cf-TDS,https://store.bblcdn.com/05b0e4ca5ee14a4cb378cfa48df24f91.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M073,PPS-CF,Official Bambu product,G073-01,Bambu Lab,PPS-CF,yes,"Polyphenylene sulfide (PPS), carbon fiber",Not published,B-pps-cf-TDS,https://store.bblcdn.com/26f4f40359484040a8660c9150a90fc0.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M073,PPS-CF,Official Bambu product,G073-02,Essentium / Nexa3D,Essentium PPS-CF,no,PPS with 15% carbon fibre; LUVOCOM 3F resin,UL 94 V0 is a raw-material value; not printed-part certification,R-ESSENTIUM-PPSCF-TDS,https://nexa3d.com/wp-content/uploads/2024/07/TDS-Essentium-PPS-CF.pdf,not recorded; start from the product page
6 - composition disclosed on the data sheet,M075,PVA,Official Bambu product,G075-01,Bambu Lab,PVA,yes,Polyvinyl alcohol,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pva-TDS,https://store.bblcdn.com/s7/default/868930e5a44944258586caa250cc8143/Bambu_PVA_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M076,BVOH,Officially listed family,G076-02,BASF Forward AM,Ultrafuse BVOH,no,Butenediol vinyl alcohol copolymer based filament (TDS),Not published,S-BVOH-ULTRAFUSE-TDS-v1-3,https://move.forward-am.com/hubfs/AES%20Documentation/Support%20Filaments/BVOH/TDS/Ultrafuse_BVOH_TDS_EN_v1.3.pdf,move.forward-am.com/hubfs/AES Documentation/<Category>/<Product>/TDS/... - look for an /SDS/ sibling folder
6 - composition disclosed on the data sheet,M077,Support for PLA,Official Bambu product,G077-01,Bambu Lab,Support for PLA (New Version),yes,Commercial support formulation; composition not disclosed,Flammable; no mechanical values published in the TDS,R-BAMBU-SUPPORT-PLA-NEW-TDS,https://store.bblcdn.com/s2/default/200ef29f5cd04b20ba6c2c86f0cc3ec0/Bambus_Support_for_PLA_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M078,Support for PLA/PETG,Official Bambu product,G078-01,Bambu Lab,Support for PLA/PETG,yes,Polylactic acid,"Flammable — verify grade, thickness and certificate; not assembly certification",B-support-for-pla-petg-TDS,https://store.bblcdn.com/d09d55778d42495db121e28a3b04a4c5.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M079,Support for ABS,Official Bambu product,G079-01,Bambu Lab,Support for ABS,yes,HIPS,"Flammable — verify grade, thickness and certificate; not assembly certification",B-support-for-abs-TDS,https://store.bblcdn.com/4ea7b59ca78c485f828115735ed35050.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M080,Support for PA/PET,Official Bambu product,G080-01,Bambu Lab,Support for PA/PET,yes,Nylon,Not published,B-support-for-pa-pet-TDS,https://store.bblcdn.com/7e83189be1eb4a3dab8ce9b9a7b2065a.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M085,PE,Conditional,G085-02,Braskem,FL300PE,yes,"100% polyethylene filament (sheet); ""anywhere traditional HDPE resins are typically required""",Not published,R-BRASKEM-FL300PE-PDS,https://www.braskem.com.br/portal/usa/arquivos/3DPrinting/Product-Data-Sheet-FL300PE.pdf,not recorded; start from the product page
6 - composition disclosed on the data sheet,M087,POM / Acetal,Conditional,G087-02,Grupa Azoty,Tarfuse POM 3D Filament,yes,Polyacetal copolymer (TDS),Not published,R-GRUPA-AZOTY-TARFUSE-POM-TDS,https://filamentworld.de/fact-sheets/Grupa-Azoty_Tarfuse-POM_Datenblatt_EN.pdf,not recorded; start from the product page
6 - composition disclosed on the data sheet,M087,POM / Acetal,Conditional,G087-03,Guangzhou Yousu 3D Technology,YOUSU POM 3D Filament,no,POM (TDS); homopolymer or copolymer not stated,Not published,R-YOUSU-POM-TDS,https://ysfilament.com/u_file/2206/14/file/YOUSUPOMTDS-ae63.pdf,not recorded; start from the product page
6 - composition disclosed on the data sheet,M091,CoPE,Theoretical,G091-02,Polymaker,Panchroma CoPE,yes,Co-polyester (CoPE); composition not disclosed,Not published,R-POLYMAKER-PANCHROMA-TDS-V2-1,https://polymaker.com/wp-content/uploads/Panchroma_TDS_V2.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
6 - composition disclosed on the data sheet,M093,PVB,Theoretical,G093-02,Polymaker,PolySmooth,no,Polyvinyl butyral (PVB) filament for alcohol smoothing; composition not otherwise disclosed,Not published,S-POLYCN-PolySmooth-TDS-V5-4,https://cdn.shopify.com/s/files/1/0548/7299/7945/files/PolySmooth_TDS_EN_V5.4.pdf?v=1731961910,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
